PairdID,Ecosystem,SourceUUTMethodName,SourceUUTStart,SourceUUTEnd,TargetMethodName,TargetMethodStart,TargetMethodEnd,SourceMatchedPercent,SourceUnMatchedPercent,TargetMatchedPercent,TargetUnMatchedPercent,SourceMatchingGroup,Rating1,Rating2,Rating,Rater1CloneType,Rater2CloneType,Rater1AcceptStatus,Rater2AcceptStatus,,Rating,,"14, 21, 55, 59, 64, 68, 94, 96, 97, 122, 134, 137, 142, 152, 163, 164, 174, 177, 178, 211, 222, 230, 238, 249, 273, 275, 284, 285, 311, 314, 315, 322"
130,RichardWarburton/java-8-lambdas-exercises,countLowercaseLetters,10,16,countLowercaseLetters,12,20,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
131,jboss-switchyard/core,Car,124,125,Car,124,125,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
132,jboss-switchyard/core,Car,124,125,Car,73,74,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
133,jboss-switchyard/core,start,61,69,start,58,67,98.08,1.92,91.25,8.75,90-100,4,0,2,3,0,Accept,,,,,
134,jboss-switchyard/core,require,83,89,require,78,84,83.33,16.67,100,0,80-89,4,4,4,3,3,Accept,Accept,,1,,
135,jboss-switchyard/core,SwitchYard,51,58,SwitchYard,51,55,75.51,24.49,100,0,70-79,0,0,0,3,0,Accept,,,,,
136,jboss-switchyard/core,DomainImpl,74,85,MockDomain,39,48,64.52,35.48,95.24,4.76,60-69,0,0,0,3,0,Accept,,,,,
137,tomakehurst/wiremock,but,115,119,andMatching,190,195,100,0,100,0,100,0,0,0,3,3,Accept,Accept,,1,,
138,tomakehurst/wiremock,load,38,58,loadStore,48,68,100,0,96.51,3.49,100,4,0,2,2,0,Accept,,,,,
139,tomakehurst/wiremock,equals,113,125,equals,31,43,90.91,9.09,94.44,5.56,90-100,2,0,1,2,0,Accept,,,,,
140,tomakehurst/wiremock,equals,113,125,equals,60,73,86.36,13.64,83.82,16.18,80-89,2,0,1,3,0,Accept,,,,,
