PairdID,Ecosystem,SourceUUTProject,SourceUUTMethodName,SourceUUTStart,SourceUUTEnd,TargetMethodName,TargetUUTProject,TargetMethodStart,TargetMethodEnd,SourceTokens,SourceMatchedPercent,SourceUnMatchedPercent,TargetTokens,TargetMatchedPercent,TargetUnMatchedPercent,SourceMatchingGroup,Rating1,Rating2,Rating,Rater1CloneType,Rater2CloneType,Rater1AcceptStatus,Rater2AcceptStatus,Rater1Comment,Rater2Comment
46,Sable/heros,Wangxiz/heros,method,67,76,method,titze/heros,46,55,59,100,0,59,100,0,100,4,0,2,2,0,Accept,,Custom object return type: all tokens matched:: one class is renamed.,
47,mboudreau/Alternator,rrutt/Alternator,save,143,147,save,spaceapegames/Alternator,143,147,16,100,0,16,100,0,100,4,0,2,1,0,Accept,,void,
48,mboudreau/Alternator,aluedeke/Alternator,listTables,226,230,listTables,spaceapegames/Alternator,201,206,15,100,0,17,88.24,11.76,100,4,0,2,1,0,Accept,,Custom return type: target mismatched token is MarkerAnnotation (@overide),
49,onelogin/java-saml,juazugas/java-saml,isValid,368,484,isValid,mauromol/java-saml,175,290,595,90.42,9.58,603,89.88,10.12,90-100,0,0,0,3,0,Accept,,Boolean return type: input parameter is different: target introduced a parameter and is missing statements from source,
50,onelogin/java-saml,veselov/java-saml,isValid,368,490,isValid,mauromol/java-saml,175,290,615,87.97,12.03,603,90.05,9.95,80-89,0,0,0,3,0,Accept,,Boolean return type: input parameter is different: target introduced a parameter and is missing statements from source,
51,fakemongo/fongo,libetl/fongo,Fongo,45,51,FongoAsync,sgrouples/fongo,64,71,43,100,0,60,65,35,100,0,0,0,3,0,Accept,,Constructor::source has all tokens mapped but traget has adidtonal parameter and additinal object intialization,
52,fakemongo/fongo,parlaylabs/thirdparty-fongo,Fongo,45,51,FongoAsync,sgrouples/fongo,64,71,43,100,0,60,65,35,100,0,0,0,3,0,Accept,,Constructor::source has all tokens mapped but traget has adidtonal parameter and additinal object intialization,
53,devnied/EMV-NFC-Paycard-Enrollment,0x7678/EMV-NFC-Paycard-Enrollment,EmvParser,105,111,EmvParser,pro100svitlo/Credit-Card-NFC-Reader,87,93,30,100,0,30,100,0,100,4,0,2,1,0,Accept,,COnstructor,
54,devnied/EMV-NFC-Paycard-Enrollment,0x7678/EMV-NFC-Paycard-Enrollment,TagImpl,40,44,TagImpl,pro100svitlo/Credit-Card-NFC-Reader,20,24,34,100,0,34,100,0,100,4,0,2,1,0,Accept,,Constructor,
55,devnied/EMV-NFC-Paycard-Enrollment,TapCard/TapCard,fromString,177,194,fromString,pro100svitlo/Credit-Card-NFC-Reader,82,103,135,95.56,4.44,141,91.49,8.51,90-100,4,0,2,3,3,Accept,Accept,"byte array return type::APPLICABLE:: paramters only differ in modifier (final):: body differes in control flow, however, this is only cases where if som condition is true an exception is thrown then the rest of stataments is excuted. therefore test case is applicable::other missing tokens include cast expression which do not change value","Same I/O (returns byte[]). Dataflow differs, as output (commandByte) is influenced differently using different casting in l. 185/90, using an extra method in tgt (l. 188/94) and an attribute (likely a constant) compared to a literal (l.188/94)."
56,devnied/EMV-NFC-Paycard-Enrollment,0x7678/EMV-NFC-Paycard-Enrollment,extractTrack2Data,62,89,extractTrack2Data,pro100svitlo/Credit-Card-NFC-Reader,39,62,159,77.36,22.64,147,83.67,16.33,70-79,4,0,2,4,0,Accept,,Boolean return type::mismatched try catch statement which does not change the return value.::different ways of setting expiry data on card,
57,cribbstechnologies/Java-Mandrill-Wrapper,pbackx/Java-Mandrill-Wrapper,performPing,48,53,getSenders,sbeigel/Java-Mandrill-Wrapper,78,85,29,100,0,48,100,0,100,4,0,2,1,0,Accept,,Custom return type,
58,cribbstechnologies/Java-Mandrill-Wrapper,aphethean/Java-Mandrill-Wrapper,getCreated_at,20,24,getCreated_at,llem/Java-Mandrill-Wrapper,23,27,8,100,0,8,100,0,100,4,0,2,1,0,Accept,,String return type,
59,pires/obd-java-api,tlindener/obd-java-api,getValue,58,62,getValue,anti43/obd-java-api,60,64,8,100,0,8,100,0,100,4,4,4,1,1,Accept,Accept,float return value,Same I/O (returns float). Identical methods -> same dataflow. Getter.
60,pires/obd-java-api,anti43/obd-java-api,getValue,60,64,getValue,pires/obd-java-api,68,72,8,100,0,8,100,0,100,4,0,2,1,0,Accept,,float return value,
61,pires/obd-java-api,anti43/obd-java-api,run,94,102,run,cesarizu/obd-java-api,76,82,41,60.98,39.02,25,100,0,60-69,4,0,2,3,0,Accept,,void method::Mismatched statements are time counters--time meaurements,
62,pires/obd-java-api,pires/obd-java-api,run,84,94,run,cesarizu/obd-java-api,76,82,46,54.35,45.65,25,100,0,50-59,4,0,2,3,0,Accept,,void method::mimsatched statements are time measurements::mismatched stament adds syncronization to suncronize execution,
63,mopub/mopub-android-sdk,mopub/mopub-android-sdk,EventForwardingBroadcastReceiver,21,27,RewardedVideoBroadcastReceiver,scopely/mopub-android-sdk,23,31,22,100,0,24,91.67,8.33,100,2,0,1,2,0,Accept,,Constructor::100% matched tokens::renamed classes::test case needs modification,
64,mopub/mopub-android-sdk,scopely/mopub-android-sdk,getRewardedAdCurrencyName,205,210,getRewardedAdCurrencyName,mopub/mopub-android-sdk,189,194,10,100,0,10,100,0,100,4,4,4,1,1,Accept,Accept,String return type,"Same I/O (returns String). Getter. Identical methods -> same dataflow. Difference is source is protected, tgt is public."
65,mopub/mopub-android-sdk,perrystreetsoftware/mopub-android-sdk,getBannerVisibilityTrackerListener,132,139,getCreativeExperienceSettings,mopub/mopub-android-sdk,1017,1024,13,92.31,7.69,13,46.15,53.85,90-100,0,0,0,4,0,Accept,,mimsatched::mimsmatched input and output,
66,mopub/mopub-android-sdk,perrystreetsoftware/mopub-android-sdk,onRewardedVideoCompleted,854,866,onRewardedAdCompleted,mopub/mopub-android-sdk,938,949,55,85.45,14.55,47,100,0,80-89,2,0,1,2,0,Accept,,PHASE 2::developer may need to adapt test case to his target type::PHASE 1::Parameter type in source is mismatched,
67,mopub/mopub-android-sdk,mopub/mopub-android-sdk,onAdClicked,406,422,onCustomEventInterstitialClicked,perrystreetsoftware/mopub-android-sdk,394,407,43,79.07,20.93,30,100,0,70-79,4,0,2,3,0,Accept,,"void method::mismatched control flow in source, checking that some object is not null before invoking a method on it but the invokation is matched in target::other mismatched staement is a custom logger.",
68,mopub/mopub-android-sdk,perrystreetsoftware/mopub-android-sdk,VastVideoConfig,83,102,VastVideoConfiguration,robbypond/mopub-android-sdk,46,59,153,67.97,32.03,104,100,0,60-69,0,0,0,3,3,Accept,Accept,Constructor::mismatched tokens that are new added statements in constructor intiializing some data structures,"Same input, different output (VastVideoConfig/VastVideoConfiguration in src/tgt). Output is effected differently in src, where additional attributes are set compared to tgt."
69,mopub/mopub-android-sdk,perrystreetsoftware/mopub-android-sdk,onPostExecute,148,165,onPostExecute,robbypond/mopub-android-sdk,52,62,48,56.25,43.75,28,96.43,3.57,50-59,0,0,0,3,0,Accept,,void method::mismatched parameters::mismatched control flow and other method invocatons that pefroma more actions not present in target,
70,mopub/mopub-android-sdk,perrystreetsoftware/mopub-android-sdk,getBestCompanionAd,545,613,getAllCompanionAds,mopub/mopub-android-sdk,534,576,291,49.48,50.52,187,87.7,12.3,40-49,0,0,0,3,0,Accept,,Custom return type::sevral mistamcted control statemts which affect output::Output is diferent and parametrs are different,
71,mopub/mopub-android-sdk,scopely/mopub-android-sdk,onResume,159,193,onResume,mopub/mopub-android-sdk,107,115,111,27.03,72.97,21,80.95,19.05,20-29,4,0,2,3,0,Accept,,void method::several mimsatchd control flows::test may fail,
72,mopub/mopub-android-sdk,robbypond/mopub-android-sdk,setAdContentView,544,561,loadConsentDialog,scopely/mopub-android-sdk,93,128,56,16.07,83.93,165,70.3,29.7,10-19,4,0,2,3,0,Accept,,void method::mimsatched variable declations and control flow beased on mismatched variables,
73,doanduyhai/Achilles,sbabouche/Achilles,setId,44,48,setId,FlakyTestDetection/Achilles,40,44,16,100,0,16,100,0,100,4,0,2,1,0,Accept,,void method,
74,doanduyhai/Achilles,sbabouche/Achilles,getId,70,74,getId,FlakyTestDetection/Achilles,62,66,8,100,0,8,100,0,100,4,0,2,1,0,Accept,,Long return type,
75,xetorthio/johm,mockobject/johm,setJedisPool,19,24,prefix,agrison/johm,58,66,19,100,0,32,100,0,100,4,0,2,1,0,Accept,,void::mismatched::test case applies to perfect match at 21-24,
76,xetorthio/johm,mockobject/johm,setJedisPool,19,24,keys,agrison/johm,26,30,19,100,0,11,100,0,100,2,0,1,2,0,Accept,,void::mismatched::test case applies to perfect match at 21-24::applicable with modification,
